dba,boro,building,street,zipcode,phone,cuisine_description,inspection_date,action,violation_code,violation_description,critical_flag,score,record_date,inspection_type,latitude,longitude,community_board,council_district,census_tract,bin,bbl,nta,grade,grade_date
SWEETGREEN,Manhattan,501,WEST   30 STREET,10001,9146023590,Salads,2020-01-03T00:00:00.000,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,7,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.75213179,-74.00114775,104,3,9900,1089323,1007020010,MN13,A,2020-01-03T00:00:00.000
SEAN'S BAR & KITCHEN/REILLEY'S PLATES & POURS,Manhattan,3842,W 48TH ST,,2127649090,American,2020-01-03T00:00:00.000,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Y,14,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,0,0,,,,,1,,B,2020-01-03T00:00:00.000
SUNSWEET FRESH MARKET,Manhattan,838,6 AVENUE,10001,2125328383,American,2020-01-03T00:00:00.000,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,N,37,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.74679006,-73.98995615,105,3,7600,1015750,1008310002,MN17,,
HAMPTON INN,Manhattan,320,PEARL STREET,10038,2125714400,American,2020-01-03T00:00:00.000,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Y,22,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.70901426,-74.00227238,101,1,1501,1087430,1001060017,MN25,,
J-II PIZZERIA,Brooklyn,1424,AVENUE M,11230,7186454753,Pizza,2020-01-03T00:00:00.000,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,17,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.61797955,-73.96017977,314,48,76800,3180878,3067430008,BK43,B,2020-01-03T00:00:00.000
CREATE,Queens,2921,DITMARS BLVD,11105,3477398424,American,2020-01-03T00:00:00.000,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilityâ€™s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,9,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.77671818,-73.91152511,401,22,11300,4017713,4008460067,QN72,A,2020-01-03T00:00:00.000
GOLDEN KRUST CARIBBEAN BAKERY & GRILL,Bronx,3818,DYRE AVENUE,10466,7183250060,Caribbean,2020-01-03T00:00:00.000,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Y,19,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.88819112,-73.83128048,212,12,48400,2095124,2049500091,BX03,,
SUENOS AMERICANO BAR RESTAURANT,Queens,3514/16,JUNCTION BLVD,,7185330028,Spanish,2020-01-03T00:00:00.000,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,51,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,0,0,,,,,4,,,
LUNA,Manhattan,121,WEST   29 STREET,10001,6468072167,CafÃ©/Coffee/Tea,2020-01-03T00:00:00.000,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,21,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.74700972,-73.99089446,105,3,9500,1015145,1008050039,MN17,,
CHICKEN PERFECT,Queens,90-40,160 STREET,11432,7187394507,Chicken,2020-01-03T00:00:00.000,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,11,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.70492565,-73.79990585,412,24,44601,4441658,4097560054,QN61,A,2020-01-03T00:00:00.000
SUNSWEET FRESH MARKET,Manhattan,838,6 AVENUE,10001,2125328383,American,2020-01-03T00:00:00.000,Violations were cited in the following area(s).,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,N,37,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.74679006,-73.98995615,105,3,7600,1015750,1008310002,MN17,,
RED STAR CHINESE FOOD,Manhattan,112,EAST  116 STREET,10029,2128608883,Chinese,2020-01-03T00:00:00.000,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Y,11,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.79900883,-73.94257168,111,8,18200,1052270,1016430065,MN34,A,2020-01-03T00:00:00.000
ANTOJITOS MEXICANO,Manhattan,511,WEST  181 STREET,10033,2125688800,Spanish,2020-01-03T00:00:00.000,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,13,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.84833943,-73.93139616,112,10,26900,1063702,1021550028,MN35,,
SUPER KENNEDY FRIED CHICKEN,Bronx,4180,WHITE PLAINS ROAD,10466,3478436002,American,2020-01-03T00:00:00.000,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,13,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.89298331,-73.85758538,212,12,42200,2063709,2048460042,BX44,A,2020-01-03T00:00:00.000
GLOBAL KITCHEN,Manhattan,1290,AVE AMERICAS,,2125813200,American,2020-01-03T00:00:00.000,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,6,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,0,0,,,,,1,,A,2020-01-03T00:00:00.000
LINKLATERS,Manhattan,1345,AVENUE OF THE AMERICAS,10105,2128309503,American,2020-01-03T00:00:00.000,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,2,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.76259829,-73.97845996,105,4,13700,1083719,1010070029,MN17,A,2020-01-03T00:00:00.000
GREEN YARD CAFE,Manhattan,4131,BROADWAY,10033,9172599130,CafÃ©/Coffee/Tea,2020-01-03T00:00:00.000,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Y,10,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.84586499,-73.93855885,112,10,26300,1063517,1021420237,MN36,A,2020-01-03T00:00:00.000
VANDAM DELI KITCHEN,Manhattan,30,VANDAM STREET,10013,2122037142,American,2020-01-03T00:00:00.000,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Y,9,2020-08-17T06:03:08.000,Pre-permit (Operational) / Initial Inspection,40.72635836,-74.00501497,102,3,3700,1007818,1005050014,MN24,A,2020-01-03T00:00:00.000
TABOGA,Manhattan,421,WEST  202 STREET,10034,2123040018,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2020-01-03T00:00:00.000,Violations were cited in the following area(s).,15F6,,,,2020-08-17T06:03:08.000,Smoke-Free Air Act / Initial Inspection,40.86075741,-73.91991585,112,10,29900,1064493,1021990034,MN01,,
PUNCH / WINED UP,Manhattan,913,BROADWAY,10010,2126736333,American,2020-01-03T00:00:00.000,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,24,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.73957679,-73.98966855,105,2,5200,1016225,1008490068,MN13,,
KURO KIRIN EXPRESSO AND COFFEE,Manhattan,4795,BROADWAY,10034,3475773177,CafÃ©/Coffee/Tea,2020-01-03T00:00:00.000,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,9,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.86610252,-73.92566527,112,10,29500,1064947,1022370059,MN01,A,2020-01-03T00:00:00.000
STONE BRIDGE PIZZA,Manhattan,30,VANDAM STREET,10013,9292263608,Pizza,2020-01-03T00:00:00.000,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,2,2020-08-17T06:03:08.000,Pre-permit (Operational) / Initial Inspection,40.72635836,-74.00501497,102,3,3700,1007818,1005050014,MN24,A,2020-01-03T00:00:00.000
VIAND CAFE,Manhattan,2130,BROADWAY,10023,2128772888,American,2020-01-03T00:00:00.000,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,34,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.78073066,-73.98137885,107,6,16300,1030727,1011660035,MN12,,
KOKO SEAFOOD SALAD & GRILL,Manhattan,92,NAGLE AVENUE,10040,9172658878,Spanish,2020-01-03T00:00:00.000,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilityâ€™s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,24,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.86051828,-73.92768882,112,10,28500,1064185,1021740093,MN35,,
RINTINTIN,Manhattan,14,SPRING STREET,10012,6466660114,Mediterranean,2020-01-03T00:00:00.000,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilityâ€™s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,13,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.72134092,-73.99482307,102,1,4100,1077741,1004790021,MN24,A,2020-01-03T00:00:00.000
NEW YORK GRILL RESTAURANT,Queens,6516,MYRTLE AVENUE,11385,7183810100,American,2020-01-03T00:00:00.000,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,22,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.70117984,-73.88974135,405,30,57700,4087224,4036000015,QN19,,
BLUE SKY BAKERY,Brooklyn,53,5 AVENUE,11217,7187834123,Bakery,2020-01-03T00:00:00.000,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,7,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.681191,-73.97720642,306,39,12902,3018581,3009330006,BK37,A,2020-01-03T00:00:00.000
STARBUCKS,Manhattan,111,WORTH STREET,10013,2129648846,CafÃ©/Coffee/Tea,2020-01-03T00:00:00.000,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,4,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.71582126,-74.00353878,101,1,3100,1086161,1001700020,MN24,A,2020-01-03T00:00:00.000
PUNTO DE SABOR,Manhattan,1464,ST NICHOLAS AVENUE,10033,2129282298,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2020-01-03T00:00:00.000,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Y,27,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.85072263,-73.93268775,112,10,26900,1063672,1021540068,MN35,,
CHINA MOON OPEN KITCHEN,Brooklyn,2567,CROPSEY AVENUE,11214,7184494088,Chinese,2020-01-03T00:00:00.000,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,65,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.59079359,-73.99185558,311,43,30400,3329295,3069090003,BK29,,
LADYBIRD,Manhattan,111,EAST    7 STREET,10009,2127772017,Vegetarian,2020-01-03T00:00:00.000,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,51,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.72656881,-73.98476022,103,2,3200,1005849,1004350045,MN22,,
GOOD HEALTH CAFE,Manhattan,1435,1 AVENUE,10021,2125179898,Soups & Sandwiches,2020-01-03T00:00:00.000,Violations were cited in the following area(s).,22C,"Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur.",N,,2020-08-17T06:03:08.000,Administrative Miscellaneous / Re-inspection,40.7695713,-73.95471675,108,5,13400,1076317,1014490026,MN31,,
PANDA HOUSE,Manhattan,82,NAGLE AVENUE,10040,2125695200,Chinese,2020-01-03T00:00:00.000,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,3,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.86039771,-73.92800709,112,10,28500,1087876,1021740101,MN35,A,2020-01-03T00:00:00.000
GREEN KITCHEN,Manhattan,1619,2 AVENUE,10028,9178902027,American,2020-01-03T00:00:00.000,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,11,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.77665467,-73.95264302,108,5,14601,1048736,1015300021,MN32,A,2020-01-03T00:00:00.000
PUNCH / WINED UP,Manhattan,913,BROADWAY,10010,2126736333,American,2020-01-03T00:00:00.000,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,N,24,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.73957679,-73.98966855,105,2,5200,1016225,1008490068,MN13,,
SUNSWEET FRESH MARKET,Manhattan,838,6 AVENUE,10001,2125328383,American,2020-01-03T00:00:00.000,Violations were cited in the following area(s).,22F,,,,2020-08-17T06:03:08.000,Administrative Miscellaneous / Initial Inspection,40.74679006,-73.98995615,105,3,7600,1015750,1008310002,MN17,,
ALEX CAFE & DELI,Manhattan,1018,LEXINGTON AVENUE,10021,2127449666,Delicatessen,2020-01-03T00:00:00.000,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,5,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.77091333,-73.96185703,108,4,12800,1042861,1014070058,MN40,A,2020-01-03T00:00:00.000
LADYBIRD,Manhattan,111,EAST    7 STREET,10009,2127772017,Vegetarian,2020-01-03T00:00:00.000,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,51,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.72656881,-73.98476022,103,2,3200,1005849,1004350045,MN22,,
THE ORIGINAL SAL'S PIZZERIA,Queens,60-48,MYRTLE AVENUE,11385,7183665396,Pizza/Italian,2020-01-03T00:00:00.000,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,11,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.70062612,-73.89639986,405,34,55700,4086744,4035890036,QN20,A,2020-01-03T00:00:00.000
MONK MCGINNS,Manhattan,57,MURRAY STREET,10007,9172658961,American,2020-01-03T00:00:00.000,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilityâ€™s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,24,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.71421246,-74.00974674,101,1,2100,1082029,1001330013,MN24,,
STARBUCKS COFFEE #49550,Manhattan,1530,BROADWAY,10036,9292375917,CafÃ©/Coffee/Tea,2020-01-03T00:00:00.000,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,13,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.75766702,-73.98512126,105,4,11900,1022624,1009970001,MN17,A,2020-01-03T00:00:00.000
SUNSWEET FRESH MARKET,Manhattan,838,6 AVENUE,10001,2125328383,American,2020-01-03T00:00:00.000,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,37,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.74679006,-73.98995615,105,3,7600,1015750,1008310002,MN17,,
VITHAS COFFEE SHOP,Bronx,305,LOCUST AVENUE,10454,7182920669,American,2020-01-03T00:00:00.000,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,11,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.80353816,-73.90588335,201,17,1900,2004048,2025980082,BX39,A,2020-01-03T00:00:00.000
NEW SARKURA JAPAN,Queens,90-40,160 STREET,11432,7182976800,Japanese,2020-01-03T00:00:00.000,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilityâ€™s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,10,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.70492565,-73.79990585,412,24,44601,4441658,4097560054,QN61,A,2020-01-03T00:00:00.000
TULCINGO AZTECA RESTAURANT,Manhattan,3861,10 AVENUE,10034,2125676028,Mexican,2020-01-03T00:00:00.000,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,N,13,2020-08-17T06:03:08.000,Pre-permit (Operational) / Initial Inspection,40.86409723,-73.91918151,112,10,29900,1064509,1022030003,MN01,A,2020-01-03T00:00:00.000
"DUNKIN', BASKIN ROBBINS",Bronx,1650,BRUCKNER BOULEVARD,10473,7188932090,Donuts,2020-01-03T00:00:00.000,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,20,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.82403512,-73.87359551,209,18,2800,2094827,2036530050,BX09,,
EDGAR'S CAFE,Manhattan,650,AMSTERDAM AVENUE,10025,2125956261,CafÃ©/Coffee/Tea,2020-01-03T00:00:00.000,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Y,21,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.79127693,-73.97240151,107,6,17900,1033592,1012390034,MN12,,
BROOKLYN KOLACHE CO,Brooklyn,520,DEKALB AVENUE,11205,7183981111,CafÃ©/Coffee/Tea,2020-01-03T00:00:00.000,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,12,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.69085457,-73.95575123,303,36,23300,3055432,3019420024,BK75,,
MOGE TEE,Manhattan,275,5 AVENUE,10016,7183138553,Other,2020-01-03T00:00:00.000,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Y,17,2020-08-17T06:03:08.000,Pre-permit (Operational) / Initial Inspection,40.74565338,-73.98657113,105,4,7400,1016950,1008590088,MN17,,
BETWEEN THE BREAD,Manhattan,609,WEST   27 STREET,10001,2127651687,Salads,2020-01-03T00:00:00.000,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,16,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.75160741,-74.00566293,104,3,9900,1079184,1006730001,MN13,,
HOLE IN THE WALL,Manhattan,15,CLIFF STREET,10038,2126029991,American,2020-01-03T00:00:00.000,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Y,25,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.70813583,-74.00545003,101,1,1502,1085931,1000767501,MN25,B,2020-01-03T00:00:00.000
PUNTO DE SABOR,Manhattan,1464,ST NICHOLAS AVENUE,10033,2129282298,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2020-01-03T00:00:00.000,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,27,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.85072263,-73.93268775,112,10,26900,1063672,1021540068,MN35,,
BROADSTONE BAR & KITCHEN,Manhattan,88,BROAD STREET,10004,6467070426,American,2020-01-03T00:00:00.000,Violations were cited in the following area(s).,09B,Thawing procedures improper.,N,12,2020-08-17T06:03:08.000,Cycle Inspection / Re-inspection,40.70404841,-74.01158826,101,1,900,1000039,1000110026,MN25,A,2020-01-03T00:00:00.000
JUICE PRESS,Manhattan,30,ROCKEFELLER PLAZA,10112,6462875379,"Juice, Smoothies, Fruit Salads",2020-01-03T00:00:00.000,Violations were cited in the following area(s).,03A,Food from unapproved or unknown source or home canned. Reduced oxygen packaged (ROP) fish not frozen before processing; or ROP foods prepared on premises transported to another site.,Y,12,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.75874744,-73.97869222,105,4,10400,1076262,1012657501,MN17,A,2020-01-03T00:00:00.000
NEW YORK GRILL RESTAURANT,Queens,6516,MYRTLE AVENUE,11385,7183810100,American,2020-01-03T00:00:00.000,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,22,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.70117984,-73.88974135,405,30,57700,4087224,4036000015,QN19,,
AU BON PAIN,Manhattan,151,WEST   34 STREET,10001,2122445573,Sandwiches/Salads/Mixed Buffet,2020-01-03T00:00:00.000,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,10,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.75050916,-73.98947917,105,3,10900,1015219,1008100001,MN17,,
561 DELI AND GROCERY,Manhattan,561,2 AVENUE,10016,2126841561,Delicatessen,2020-01-03T00:00:00.000,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Y,66,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.74276168,-73.97728632,106,2,7000,1020002,1009117502,MN20,,
CAFE BLISS & ORGANIC JUICE BAR,Queens,4417,48TH AVE,11377,3479444894,"Juice, Smoothies, Fruit Salads",2020-01-03T00:00:00.000,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Y,8,2020-08-17T06:03:08.000,Pre-permit (Operational) / Initial Inspection,40.73949796,-73.92107619,402,26,18502,4002098,4001710061,QN31,A,2020-01-03T00:00:00.000
MONK MCGINNS,Manhattan,57,MURRAY STREET,10007,9172658961,American,2020-01-03T00:00:00.000,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,24,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.71421246,-74.00974674,101,1,2100,1082029,1001330013,MN24,,
VITHAS COFFEE SHOP,Bronx,305,LOCUST AVENUE,10454,7182920669,American,2020-01-03T00:00:00.000,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",N,11,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.80353816,-73.90588335,201,17,1900,2004048,2025980082,BX39,A,2020-01-03T00:00:00.000
EMPIRE STEAKHOUSE,Manhattan,237,WEST   54 STREET,10019,2125869700,Steak,2020-01-03T00:00:00.000,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Y,12,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.76425689,-73.98299713,105,3,13700,1089437,1010260012,MN17,A,2020-01-03T00:00:00.000
HAPPY HOT HUNAN RESTAURANT,Manhattan,969,AMSTERDAM AVENUE,10025,2125311788,Chinese,2020-01-03T00:00:00.000,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,29,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.80139206,-73.96499275,107,7,19300,1055995,1018620064,MN09,,
RAMEN-YA,Manhattan,181,WEST    4 STREET,10014,2129895440,Japanese,2020-01-03T00:00:00.000,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,19,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.73250399,-74.00181855,102,3,7100,1010231,1005920037,MN23,,
TINOS DELICATESSEN,Bronx,2410,ARTHUR AVENUE,10458,7187339879,Delicatessen,2020-01-03T00:00:00.000,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,6,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.85581427,-73.88732589,206,15,38900,2012240,2030770006,BX06,A,2020-01-03T00:00:00.000
2ND AVENUE DELI,Manhattan,1442,1 AVENUE,10021,2127371700,Jewish/Kosher,2020-01-03T00:00:00.000,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,10,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.76964812,-73.95463727,108,5,13200,1045916,1014690046,MN31,A,2020-01-03T00:00:00.000
CREDITSUISSE - 2 BELOW,Manhattan,11,MADISON AVENUE,10010,9084516718,American,2020-01-03T00:00:00.000,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,11,2020-08-17T06:03:08.000,Cycle Inspection / Initial Inspection,40.74161044,-73.98744887,105,2,5600,1088910,1008547501,MN13,A,2020-01-03T00:00:00.000
